,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
43,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-071,1992,10,1,169,1.9,0,0,0,0,1,2,0,0.00,0.00,0.00,0.00,0.00,1.4,0.6,0.4,1.0,0.73,0.23,0.96,0.32,0.55,Matches
44,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,32-272,1989,11,11,970,10.8,0,4,0,0,0,3,0,0.00,0.37,0.37,0.00,0.37,0.7,0.7,1.9,2.5,0.06,0.17,0.24,0.06,0.24,Matches
45,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,29-081,1992,16,12,1070,11.9,2,6,2,0,0,3,0,0.17,0.50,0.67,0.17,0.67,1.3,1.3,2.9,4.2,0.11,0.24,0.35,0.11,0.35,Matches
46,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-105,1985,11,11,990,11.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
47,Marc Albrighton\b827d5b3,eng ENG,FWMF,Leicester City,eng Premier League,32-030,1989,6,3,317,3.5,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.0,0.0,0.2,0.3,0.01,0.07,0.08,0.01,0.08,Matches
48,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,28-110,1993,9,5,408,4.5,0,2,0,0,0,1,0,0.00,0.44,0.44,0.00,0.44,1.4,1.4,1.6,3.0,0.31,0.34,0.66,0.31,0.66,Matches
49,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,30-251,1991,11,8,676,7.5,1,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,1.5,1.5,1.0,2.5,0.19,0.13,0.33,0.19,0.33,Matches
50,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,24-357,1996,15,14,1209,13.4,1,0,1,0,0,9,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.2,0.6,0.03,0.01,0.05,0.03,0.05,Matches
51,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,es La Liga,26-311,1995,3,1,145,1.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.02,0.16,0.18,0.02,0.18,Matches
52,Carles Aleñá\6c811eb7,es ESP,MFFW,Getafe,es La Liga,23-347,1998,16,16,1217,13.5,0,2,0,0,0,4,1,0.00,0.15,0.15,0.00,0.15,0.7,0.7,1.6,2.3,0.05,0.12,0.17,0.05,0.17,Matches
53,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-072,1998,15,15,1324,14.7,2,7,2,0,0,1,0,0.14,0.48,0.61,0.14,0.61,1.7,1.7,5.9,7.6,0.12,0.40,0.52,0.12,0.52,Matches
54,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,17-333,2004,18,14,1162,12.9,2,0,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15,4.6,4.6,1.1,5.6,0.35,0.08,0.44,0.35,0.44,Matches
55,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-077,1992,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
56,Allan\cc700722,br BRA,MF,Everton,eng Premier League,30-344,1991,15,15,1321,14.7,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
57,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,26-294,1995,16,10,892,9.9,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,1.6,1.6,0.9,2.5,0.16,0.09,0.25,0.16,0.25,Matches
58,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,eng Premier League,25-251,1996,8,6,516,5.7,1,0,0,1,1,1,0,0.17,0.00,0.17,0.00,0.00,1.1,0.3,0.0,0.3,0.18,0.00,0.18,0.05,0.05,Matches
59,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,eng Premier League,27-311,1994,14,10,880,9.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.4,1.3,0.09,0.04,0.13,0.09,0.13,Matches
60,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,30-355,1990,11,11,923,10.3,1,2,1,0,0,3,0,0.10,0.20,0.29,0.10,0.29,1.0,1.0,1.9,2.9,0.10,0.18,0.28,0.10,0.28,Matches
61,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,23-131,1998,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
62,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36-180,1985,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,2.32,0.00,2.32,2.32,2.32,Matches
63,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,26-328,1995,8,8,720,8.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.04,0.01,0.04,0.04,0.04,Matches
64,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,23-101,1998,2,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.14,0.14,0.00,0.14,Matches
65,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,20-028,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.0,0.1,0.03,0.05,0.08,0.03,0.08,Matches
66,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,26-362,1994,8,7,606,6.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,Matches
67,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25-155,1996,11,6,566,6.3,0,1,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.8,0.8,0.2,1.0,0.13,0.04,0.16,0.13,0.16,Matches
68,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,27-284,1994,2,2,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches
69,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,23-313,1998,13,12,982,10.9,0,1,0,0,0,1,1,0.00,0.09,0.09,0.00,0.09,0.6,0.6,0.7,1.4,0.06,0.07,0.13,0.06,0.13,Matches
70,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,25-052,1996,12,3,367,4.1,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.4,0.4,0.1,0.6,0.11,0.03,0.14,0.11,0.14,Matches
71,Ethan Ampadu\10b9fa99,wls WAL,MF,Venezia,it Serie A,21-095,2000,10,8,700,7.8,0,2,0,0,0,6,1,0.00,0.26,0.26,0.00,0.26,0.0,0.0,0.8,0.8,0.00,0.11,0.11,0.00,0.11,Matches
72,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,25-119,1996,10,1,210,2.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
73,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25-201,1996,13,11,1034,11.5,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,0.5,0.8,0.02,0.05,0.07,0.02,0.07,Matches
74,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,it Serie A,28-247,1993,18,16,1357,15.1,3,4,3,0,0,1,0,0.20,0.27,0.46,0.20,0.46,2.5,2.5,3.3,5.9,0.17,0.22,0.39,0.17,0.39,Matches
75,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,30-156,1991,16,7,760,8.4,2,1,2,0,0,2,0,0.24,0.12,0.36,0.24,0.36,2.9,2.9,0.7,3.6,0.35,0.08,0.43,0.35,0.43,Matches
76,Florin Andone\dc008610,ro ROU,FW,Cádiz,es La Liga,28-251,1993,3,1,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
77,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,de Bundesliga,23-063,1998,7,3,330,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.03,0.06,0.08,0.03,0.08,Matches
78,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,31-137,1990,17,17,1471,16.3,1,1,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,0.9,1.4,0.03,0.06,0.09,0.03,0.09,Matches
79,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,de Bundesliga,27-087,1994,12,8,675,7.5,2,1,2,0,0,2,1,0.27,0.13,0.40,0.27,0.40,1.7,1.7,0.3,1.9,0.22,0.04,0.26,0.22,0.26,Matches
80,José Ángel\3024e383,es ESP,DF,Osasuna,es La Liga,32-104,1989,11,4,385,4.3,1,1,1,0,0,0,1,0.23,0.23,0.47,0.23,0.47,0.1,0.1,0.6,0.7,0.03,0.15,0.17,0.03,0.17,Matches
81,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,24-348,1997,13,12,1030,11.4,0,3,0,0,0,3,0,0.00,0.26,0.26,0.00,0.26,0.7,0.7,3.4,4.2,0.06,0.30,0.37,0.06,0.37,Matches
82,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,35-089,1986,8,3,342,3.8,0,3,0,0,0,0,0,0.00,0.79,0.79,0.00,0.79,0.2,0.2,0.8,1.0,0.04,0.22,0.26,0.04,0.26,Matches
83,Janis Antiste\38d9ce53,fr FRA,FWMF,Spezia,it Serie A,19-122,2002,10,8,594,6.6,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,1.4,1.4,0.2,1.6,0.22,0.03,0.25,0.22,0.25,Matches
84,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,25-151,1996,13,13,1161,12.9,0,1,0,0,0,2,1,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.8,1.3,0.04,0.06,0.10,0.04,0.10,Matches
85,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,es La Liga,21-164,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
86,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,31-265,1990,16,16,1435,15.9,6,4,6,0,1,5,1,0.38,0.25,0.63,0.38,0.63,5.4,5.2,3.9,9.1,0.34,0.24,0.59,0.32,0.57,Matches
87,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,de Bundesliga,27-314,1994,13,6,530,5.9,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,1.2,1.2,0.7,1.9,0.21,0.12,0.33,0.21,0.33,Matches
88,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,23-171,1998,17,16,1359,15.1,3,2,3,0,0,0,0,0.20,0.13,0.33,0.20,0.33,4.4,4.4,2.9,7.3,0.29,0.19,0.48,0.29,0.48,Matches
89,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-156,2002,16,6,503,5.6,0,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.4,0.4,0.2,0.6,0.08,0.04,0.12,0.08,0.12,Matches
90,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,29-192,1992,15,9,878,9.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches
91,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,26-079,1995,14,14,1164,12.9,0,2,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,0.8,0.8,0.8,1.6,0.06,0.06,0.13,0.06,0.13,Matches
92,Mattia Aramu\0847b5a5,it ITA,FWMF,Venezia,it Serie A,26-218,1995,14,11,851,9.5,5,2,3,2,2,4,0,0.53,0.21,0.74,0.32,0.53,3.0,1.5,1.3,2.8,0.32,0.14,0.46,0.16,0.30,Matches
93,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,32-245,1989,10,7,667,7.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.02,0.04,0.02,0.04,Matches
94,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,30-111,1991,16,12,1151,12.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
95,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,22-286,1999,12,7,756,8.4,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.2,0.5,0.04,0.02,0.06,0.04,0.06,Matches
96,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,eng Premier League,20-150,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
97,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,es La Liga,22-169,1999,2,2,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
98,Santiago Arias\fdd60087,co COL,DF,Granada,es La Liga,29-339,1992,6,2,271,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.6,0.6,0.2,0.8,0.20,0.06,0.26,0.20,0.26,Matches
