,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
132,Vedran Ćorluka\6ceef869,DF,hr Croatia,28,1986,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Diego Costa\a190d597,FW,es Spain,25,1988,2,2,125,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Ricardo Costa\cd7325e1,DF,pt Portugal,33,1981,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
135,Carlo Costly\2abf959a,FW,hn Honduras,31,1982,3,3,219,2.4,1,0,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches
136,Thibaut Courtois\1840e36d,GK,be Belgium,22,1992,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Juan Cuadrado\0ab1f153,DFFW,co Colombia,26,1988,5,5,384,4.3,1,4,0,1,1,0,0,0.23,0.94,1.17,0.00,0.94,Matches
138,Dante\fd2bc67d,DF,br Brazil,30,1983,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Matteo Darmian\96e0490d,DFMF,it Italy,24,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Fatau Dauda\b7ec4136,GK,gh Ghana,29,1985,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Jason Davidson\46bcd68d,DFMF,au Australia,22,1991,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Brad Davis\7adc9ea2,MF,us United States,32,1981,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Kevin De Bruyne\e46012d4,FWMF,be Belgium,22,1991,4,4,390,4.3,1,2,1,0,0,0,0,0.23,0.46,0.69,0.23,0.69,Matches
144,Daniele De Rossi\532d2690,DFMF,it Italy,30,1983,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Mattia De Sciglio\ae4e2852,DF,it Italy,21,1992,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
146,Mathieu Debuchy\92232aad,DF,fr France,28,1985,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Steven Defour\73489527,MF,be Belgium,26,1988,1,1,43,0.5,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
148,Ashkan Dejagah\5171db60,FWMF,ir Iran,27,1986,3,3,228,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Mousa Dembélé\f7ee69fb,MF,be Belgium,26,1987,2,2,154,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
150,Martín Demichelis\e9c7102a,DFMF,ar Argentina,33,1980,3,3,330,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
151,Clint Dempsey\523d9de6,FWMF,us United States,31,1983,4,4,386,4.3,2,0,2,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches
152,Igor Denisov\fbb23472,MF,ru Russia,30,1984,2,0,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
153,Memphis Depay\8f696594,FWMF,nl Netherlands,20,1994,4,1,178,2.0,2,1,2,0,0,0,0,1.01,0.51,1.52,1.01,1.52,Matches
154,Ángel Di María\19cda00b,FWMF,ar Argentina,26,1988,5,5,426,4.7,1,0,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
155,Júnior Díaz\a83f301d,DFMF,cr Costa Rica,30,1983,5,5,510,5.7,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
156,Marcelo Díaz\955b2e8a,MF,cl Chile,27,1986,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
157,Serey Die\3c1b7c60,MF,ci Côte d'Ivoire,29,1984,3,3,223,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
158,Lucas Digne\1b84dbe1,DF,fr France,20,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
159,Ismaël Diomandé\10650926,MF,ci Côte d'Ivoire,21,1992,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
